Date,Time,DateTime,Temp_Box,Hum_Box,Temp_266,Hum_266
2021-08-10,12:00:00,10/08/21 12:00,35.66666667,33.33333333,35.83333333,45.33333333
2021-08-10,13:00:00,10/08/21 13:00,38.33333333,27,36,46.33333333
2021-08-10,14:00:00,10/08/21 14:00,39.83333333,25.5,36,44.33333333
2021-08-10,15:00:00,10/08/21 15:00,39,27.83333333,36.33333333,44.66666667
2021-08-10,16:00:00,10/08/21 16:00,38.83333333,26.83333333,36,46.16666667
2021-08-10,17:00:00,10/08/21 17:00,38,27.33333333,36,47
2021-08-10,18:00:00,10/08/21 18:00,34.66666667,32.66666667,35.66666667,46
2021-08-10,19:00:00,10/08/21 19:00,30.5,40.16666667,34.33333333,53.5
2021-08-10,20:00:00,10/08/21 20:00,28.16666667,44.5,34,54
2021-08-10,21:00:00,10/08/21 21:00,26.83333333,45.5,33.83333333,52.83333333
2021-08-10,22:00:00,10/08/21 22:00,26,42.16666667,33,51.66666667
2021-08-10,23:00:00,10/08/21 23:00,24.66666667,42.5,33,53.5
2021-08-11,0:00:00,11/08/21 00:00,24,51,32.66666667,52
2021-08-11,1:00:00,11/08/21 01:00,24,54.66666667,33,51
2021-08-11,2:00:00,11/08/21 02:00,22.83333333,64.5,33,52.83333333
2021-08-11,3:00:00,11/08/21 03:00,22,69.16666667,32.83333333,55.66666667
2021-08-11,4:00:00,11/08/21 04:00,22,70.66666667,33,55.83333333
2021-08-11,5:00:00,11/08/21 05:00,22,71,33,59.5
2021-08-11,6:00:00,11/08/21 06:00,22,72,33,59.16666667
2021-08-11,7:00:00,11/08/21 07:00,23.33333333,69.33333333,33,57.83333333
2021-08-11,8:00:00,11/08/21 08:00,27.83333333,54,33,57.5
2021-08-11,9:00:00,11/08/21 09:00,29.83333333,51.16666667,33.66666667,55
2021-08-11,10:00:00,11/08/21 10:00,33.66666667,42.16666667,34.66666667,53.33333333
2021-08-11,11:00:00,11/08/21 11:00,35,36.66666667,35.5,49
2021-08-11,12:00:00,11/08/21 12:00,36.16666667,36.16666667,36,47.5
2021-08-11,13:00:00,11/08/21 13:00,38.83333333,31.83333333,36.16666667,49.83333333
2021-08-11,14:00:00,11/08/21 14:00,38.66666667,29.66666667,37,45.66666667
2021-08-11,15:00:00,11/08/21 15:00,37.83333333,27.83333333,36.66666667,43.66666667
2021-08-11,16:00:00,11/08/21 16:00,34.83333333,30.16666667,35.33333333,43.5
2021-08-11,17:00:00,11/08/21 17:00,33.5,30,35,49.66666667
2021-08-11,18:00:00,11/08/21 18:00,31.66666667,31,35,49.5
2021-08-11,19:00:00,11/08/21 19:00,29,38.33333333,34.5,50.5
2021-08-11,20:00:00,11/08/21 20:00,26.66666667,43.16666667,34.16666667,53.5
2021-08-11,21:00:00,11/08/21 21:00,25.5,39,34,55.83333333
2021-08-11,22:00:00,11/08/21 22:00,24.5,42.83333333,34,58.33333333
2021-08-11,23:00:00,11/08/21 23:00,22.33333333,46.66666667,33.83333333,58.5
2021-08-12,0:00:00,12/08/21 00:00,21.33333333,52,33.16666667,60.83333333
2021-08-12,1:00:00,12/08/21 01:00,20.16666667,56.33333333,33,59.5
2021-08-12,2:00:00,12/08/21 02:00,20.33333333,58.33333333,33,58.5
2021-08-12,3:00:00,12/08/21 03:00,19.5,60.5,33,60.66666667
2021-08-12,4:00:00,12/08/21 04:00,19,62.66666667,32.33333333,60.66666667
2021-08-12,5:00:00,12/08/21 05:00,18,63.16666667,32,60.16666667
2021-08-12,6:00:00,12/08/21 06:00,18.66666667,62.5,32,60.66666667
2021-08-12,7:00:00,12/08/21 07:00,21.83333333,57.5,32,61.33333333
2021-08-12,8:00:00,12/08/21 08:00,27.4,44.2,32.2,60.8
2021-08-12,9:00:00,12/08/21 09:00,30.83333333,37.5,33.5,56
2021-08-12,10:00:00,12/08/21 10:00,34,34.16666667,34.5,53.33333333
2021-08-12,11:00:00,12/08/21 11:00,35.16666667,31.5,35.16666667,47.66666667
2021-08-12,12:00:00,12/08/21 12:00,37.16666667,29.66666667,35.33333333,46
2021-08-12,13:00:00,12/08/21 13:00,38,29.16666667,36,45
2021-08-12,14:00:00,12/08/21 14:00,38.83333333,29.5,36,46.5
2021-08-12,15:00:00,12/08/21 15:00,38.66666667,29.33333333,36,47.5
2021-08-12,16:00:00,12/08/21 16:00,37.83333333,28.33333333,36,46.83333333
2021-08-12,17:00:00,12/08/21 17:00,35.83333333,23.33333333,35.33333333,43.66666667
2021-08-12,18:00:00,12/08/21 18:00,33.16666667,22.83333333,34.5,39.66666667
2021-08-12,19:00:00,12/08/21 19:00,30,23.66666667,33.66666667,38.83333333
2021-08-12,20:00:00,12/08/21 20:00,27.5,29.66666667,32.83333333,39.66666667
2021-08-12,21:00:00,12/08/21 21:00,25.16666667,35.33333333,32,41.83333333
2021-08-12,22:00:00,12/08/21 22:00,23.16666667,38.83333333,32,46.33333333
2021-08-12,23:00:00,12/08/21 23:00,22.33333333,42.5,32,48
2021-08-13,0:00:00,13/08/21 00:00,21,46.16666667,32,54
